coord_x,coord_y,garage,rooms,size,address,price,type,farmac_dist,mercado_dist,restaurante_dist
-43.96405015,-19.9027163,0,0,0,"RUA MARIA ABADIA ARAUJO BRASILEIRO,N. 191, SIBIPIRUNA, ARAGUARI",44,Terreno,0.8,0.09,0.11
-43.96405015,-19.9027163,0,0,315,"RUA JOAQUIM LUCIO,N. 224 BAIRRO SÃO JOSE MUNICÍPIO DE BRUGRE, BUGRE, BUGRE",43,Terreno,0.8,0.09,0.11
-43.96405015,-19.9027163,0,0,339.9,"RUA UM, CENTRO, BUGRE",67,Terreno,0.8,0.09,0.11
-43.96405015,-19.9027163,0,0,38.15,"AV. 19-A,N. 572, CAMPINA VERDE, CAMPINA VERDE",53,Casa,0.8,0.09,0.11
-43.96405015,-19.9027163,0,0,38.05,"AV. 19-C,N. 125, CAMPINA VERDE, CAMPINA VERDE",62,Casa,0.8,0.09,0.11
-43.96405015,-19.9027163,0,0,0,"AVENIDA 19-A,N. 632 BAIRRO GILMA TEIXEIRA, CAMPINA VERDE, CAMPINA VERDE",54,Casa,0.8,0.09,0.11
-43.96405015,-19.9027163,1,2,0,"RUA BARBARA CAROLINA DE JESUS,N. 25 BAIRRO JARDIM DONA MARIETA, CAMPO BELO, CAMPO BELO",92,Casa,0.8,0.09,0.11
-43.96405015,-19.9027163,0,2,0,"RUA ORLANDO ALVES COSTA,N. 145 BAIRRO ELDORADO, CAMPO BELO, CAMPO BELO",33,Casa,0.8,0.09,0.11
-43.96405015,-19.9027163,0,3,0,"AVENIDA NORUEGA,N. 199 BAIRRO JARDIM AEROPORTO, CAPELINHA, CAPELINHA",90,Casa,0.8,0.09,0.11
-43.96405015,-19.9027163,0,0,60,"AVENIDA 103,N. 1306, CAPINOPOLIS, CAPINOPOLIS",89,Casa,0.8,0.09,0.11
-43.96405015,-19.9027163,1,2,0,"AVENIDA RIO BRANCO,N. 210 BAIRRO SAO JOAO, CAPINOPOLIS, CAPINOPOLIS",92,Casa,0.8,0.09,0.11
-43.96405015,-19.9027163,0,4,554.5,"RUA DEZ,N. 491 Nº 491A, Nº 521, BAIRRO ISAAC LUIZ, CAPINOPOLIS, CAPINOPOLIS",246,Outros,0.8,0.09,0.11
-40.7711428,-17.6979268,0,0,351.51,"RUA SATURNO,N. 591, CARLOS CHAGAS, CARLOS CHAGAS",605,Casa,405.35,402.89,402.75
-43.96405015,-19.9027163,0,2,0,"RUA CINCO,N. 510 BAIRRO RESIDENCIAL VITÓRIA, CARMO DO PARANAIBA, CARMO DO PARANAIBA",59,Casa,0.8,0.09,0.11
-46.3058308,-18.9986981,5,4,0,"RUA PATOS DE MINAS,N. 1426, JUSCELINO KUBITSCHEK, CARMO DO PARANAIBA",120,Casa,259.88,257.55,257.54
-43.96405015,-19.9027163,0,0,0,"RUA PEDRO ANTONIO GONÇALVES,N. 205 BAIRRO CORAÇAO EUCARISTICO, CARMO DO RIO CLARO, CARMO DO RIO CLARO",67,Casa,0.8,0.09,0.11
-43.96405015,-19.9027163,0,3,57.38,"RUA SEBASTIÃO FERREIRA,N. 45 CORAÇÃO EUCARÍSTICO, CARMO DO RIO CLARO, CARMO DO RIO CLARO",67,Casa,0.8,0.09,0.11
-43.96405015,-19.9027163,0,0,213.11,"RUA AGLIMAR DORISTO DE OLIVEIRA,N. 110, CONC. DAS ALAGOAS, CONCEICAO DAS ALAGOAS",75,Casa,0.8,0.09,0.11
-43.96405015,-19.9027163,2,3,100.41,"RUA A,N. 20 CONJUNTO HABITACIONAL MORRO DO BENEVIDES, CONSELHEIRO PENA, CONSELHEIRO PENA",92,Casa,0.8,0.09,0.11
-44.0412446,-19.8716483,1,0,0,"ALAMEDA DAS COTOVIAS,N. 520, CABRAL, CONTAGEM",169,Apartamento,3.96,2.11,2.21
-44.1020646,-19.8804601,1,2,0,"AVENIDA DAS TULIPAS,N. 150, GRANJA OURO BRANCO, CONTAGEM",130,Apartamento,8.78,8.4,8.38
-44.0457851,-19.9689409,1,0,60.68,"RUA UM,N. 190, PARQUE DAS MANGUEIRAS, CONTAGEM",161,Apartamento,3.38,0.56,0.59
-44.0457851,-19.9689409,0,0,0,"VIA ARTERIAL,N. 615, PARQUE DAS MANGUEIRAS, CONTAGEM",144,Apartamento,3.38,0.56,0.59
-44.0457851,-19.9689409,0,0,0,"VIA ARTERIAL,N. 615 BL. 13, PARQUE DAS MANGUEIRAS, CONTAGEM",152,Apartamento,3.38,0.56,0.59
-44.0516352,-19.943821,1,2,79.65,"RUA ORLEANS,N. 500, SANTA CRUZ INDUSTRIAL, CONTAGEM",90,Apartamento,5.16,2.86,2.83
-44.052234,-19.9466334,0,2,0,"RUA SALERNO,N. 447, SANTA CRUZ INDUSTRIAL, CONTAGEM",146,Apartamento,5.13,3.03,3
-42.630416,-19.4877396,0,0,0,"RUA BRAUNAS SURINAN, CORONEL FABRICIANO",74,Terreno,138.52,135.22,135.12
-44.9059476,-20.1501449,1,3,0,"RUA ÉRICO VERÍSSIMO,N. 416, SANTA LUZIA, DIVINOPOLIS",294,Apartamento,95.24,90.27,90.29
-43.96405015,-19.9027163,0,0,0,"RUA JOAQUIM AZEVEDO COSTA,N. 78, CENTRO, FRUTAL",233,Casa,0.8,0.09,0.11
-43.96405015,-19.9027163,0,0,0,"RUA ANTONIO RODRIGUES DE SOUZA,N. 184 BAIRRO ALTO BOA VISTA, FRUTAL, FRUTAL",87,Casa,0.8,0.09,0.11
-42.36181,-21.1460263,0,3,61.2,"ALAMEDA DOS OITIS,N. 370, MURIAÉ, MURIAE",129,Casa,211.31,207.8,207.8
