coord_x,coord_y,size,address,type,price,farmac_dist,mercado_dist,restaurante_dist,regiao_id,bairro
-43.9442886,-19.8416723,69,"Rua Madre Beatriz, Planalto, Belo Horizonte",3,330,0.27,0.05,0.05,6,Planalto
-43.9725805,-19.9474644,75,"Rua Santos, Jardim América, Belo Horizonte",3,275,0.11,0.08,0.04,7,Jardim América
-43.9821665,-19.8640795,95,"Rua ExpedicionÃ¡rio Celso Racioppi, Ouro Preto, Belo Horizonte",1,350,0.3,0.29,0.09,8,Ouro Preto
-43.9198393,-19.9046013,90,"Rua Horizontal, Sagrada Família, Belo Horizonte",1,320,0.12,0.08,0.07,3,Sagrada Família
-44.0141738,-19.8837561,83,"Rua Adenir Pereira de Souza, SERRANO, Belo Horizonte",1,305,0.09,0.13,0.09,,SERRANO
-43.9993348,-19.88241605,70,,3,270,0.08,0.07,0.07,8,Castelo
-43.9785116,-19.910471,100,"Rua Desembargador Tinoco, Monsenhor Messias, Belo Horizonte",1,350,0.06,0.02,0.01,5,Monsenhor Messias
-44.0085974,-19.8771859,65,"Rua ItambÃ© do Mato Dentro, Serrano, Belo Horizonte",1,310,0.07,0.05,0.14,8,Serrano
-43.9943384,-19.8895012,75,"Rua Elson Nunes de Souza, Castelo, Belo Horizonte",1,350,0.08,0.07,0.08,8,Castelo
-43.9713798,-19.9728735,68,"Rua Tereza Mota Valadares, Buritis, Belo Horizonte",1,340,0.31,0.17,0.14,7,Buritis
-43.9402498,-19.9451075,130,"Rua Santo Antonio do Monte, Santo Antônio, Belo Horizonte",3,250,0.13,0.03,0.06,2,Santo Antônio
-43.9645351,-19.9301618,65,"Rua Brumadinho, Prado, Belo Horizonte",1,285,0.06,0.11,0.03,7,Prado
-43.9688653,-19.9434169,80,"Rua Conselheiro Joaquim Caetano, Nova Granada, Belo Horizonte",3,260,0.06,0.12,0.08,7,Nova Granada
-43.9684342,-19.9521125,75,"Rua Professor Tavares Paes, Jardim América, Belo Horizonte",3,350,0.07,0.04,0.04,7,Jardim América
-43.9653881,-19.9623529,80,"Rua Paulo Piedade Campos, Estoril, Belo Horizonte",3,250,0.05,0.1,0.12,7,Estoril
